Author,Book,Image,Year,Description,Buy,Book_old,file_number
Adriana Herrera,American dreamer,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,American dreamer,221
Adriana Herrera,American love story,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,American love story ,222
Adriana Herrera,American sweetheart,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,American sweetheart,223
Adriana Herrera,Finding joy,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Finding joy,224
Adriana Herrera,Here to stay,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Here to stay ,225
Adriana Herrera,Mangoes and misteltoes,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Mangoes and misteltoes,226
Adrianne Byrd,Body Heat,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Body Heat,8
Adrianne Byrd,Comfort of a man,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Comfort of a man,9
Adrianne Byrd,Her Lover's Legacy,https://m.media-amazon.com/images/I/51QRhQpBffL._SY346_.jpg,2008,"Heir-apparent Malcolm Braddock may be the sexiest community activist under the Houston sun, but clearly he's met his match in Gloria Kingsley, the late senator Harmon Braddock's strikingly beautiful executive assistant. Both were recently spotted in a limo in a very...um...compromising position, and it appears Ms. Kingsley is influencing more than the brooding, lone-wolf bachelor's normally conservative sense of fashion (when she lets him stay dressed, of course!). We can conclude that Gloria is on a mission to make No-Commitments-Malcolm her Mr. Right. But with rumors flying about Senator Braddockand a few dirty little secrets that didn't die with himcan she get Malcolm to secure his father's mantle as well?",https://www.amazon.com/gp/product/0373860765/ref=x_gr_w_bb_glide_sout?ie=UTF8&tag=x_gr_w_bb_glide_sout-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0373860765&SubscriptionId=1MGPYB6YW3HWK55XCGG2,Her lovers legacy,10
Adrianne Byrd,King's Promise,https://m.media-amazon.com/images/I/513jNJ9q8EL._AC_UY218_.jpg,2011,"The sexy King brothers own a successful bachelor-party-planning business and a string of upscale clubs across the country. What could be better than living the single life in some of the world's most glamorous cities? Finding a woman worth giving it up for... A promise of ecstasy... Bartender Cheryl Shepherd has just done the unthinkableshe has shot down Xavier King. Repeatedly. Now the handsome club owner is on a mission to seduce her. And when he finally succeeds, he's blown away by their wild chemistry. For a notorious player, a sexy, confident woman like Cheryl is a risky proposition. Xavier has no idea how right he is. An undercover cop, Cheryl is really investigating alleged criminal activity in his club. Yet every time she's alone with her boss, Cheryl starts to lose her head along with all her inhibitions. But when the case grows dangerous, can Xavier be trusted with her heart...and her life?",https://www.amazon.com/Kings-Promise-House-Adrianne-Byrd-ebook/dp/B004Z2I54C/ref=sr_1_2?dchild=1&keywords=King%27s+Promise+Adrianne+Byrd&qid=1615771502&s=books&sr=1-2,King's promise,11
