Author,Book,Image,Year,Description,Buy,Book_old,file_number
Adriana Herrera,American Dreamer,"https://images-na.ssl-images-amazon.com/images/I/41goIIB389L._SX314_BO1,204,203,200_.jpg",2020,"No one ever said big dreams come easy

For Nesto Vasquez, moving his Afro-Caribbean food truck from New York City to the wilds of Upstate New York is a huge gamble. If it works? He'll be a big fish in a little pond. If it doesn't? He'll have to give up the hustle and return to the day job he hates. He's got six months to make it happen--the last thing he needs is a distraction.

Jude Fuller is proud of the life he's built on the banks of Cayuga Lake. He has a job he loves and good friends. It's safe. It's quiet. And it's damn lonely. Until he tries Ithaca's most-talked-about new lunch spot and works up the courage to flirt with the handsome owner. Soon he can't get enough--of Nesto's food or of Nesto. For the first time in his life, Jude can finally taste the kind of happiness that's always been just out of reach.

An opportunity too good to pass up could mean a way to stay together and an incredible future for them both... if Nesto can remember happiness isn't always measured by business success. And if Jude can overcome his past and trust his man will never let him down.",https://www.amazon.com/American-Dreamer-Dreamers-Adriana-Herrera/dp/1335006877,American dreamer,221
Adriana Herrera,American Love Story,https://m.media-amazon.com/images/I/41AY3KhzblL.jpg,2019,"No one should have to choose between love and justice.

Haitian-born professor and activist Patrice Denis is not here for anything that will veer him off the path he's worked so hard for. One particularly dangerous distraction: Easton Archer, the assistant district attorney who last summer gave Patrice some of the most intense nights of his life, and still makes him all but forget they're from two completely different worlds.

All-around golden boy Easton forged his own path to success, choosing public service over the comforts of his family's wealth. With local law enforcement unfairly targeting young men of color, and his career--and conscience--on the line, now is hardly the time to be thirsting after Patrice again. Even if their nights together have turned into so much more.

For the first time, Patrice is tempted to open up and embrace the happiness he's always denied himself. But as tensions between the community and the sheriff's office grow by the day, Easton's personal and professional lives collide. And when the issue at hand hits closer to home than either could imagine, they'll have to work to forge a path forward... together.",https://www.amazon.com/American-Love-Story-Dreamers-Book-ebook/dp/B07S8HH7LK/ref=sr_1_1?dchild=1&keywords=Adriana+Herrera+American+love+story&qid=1615933508&s=books&sr=1-1,American love story ,222
Adriana Herrera,American Sweetheart,https://m.media-amazon.com/images/I/51RJdJyI+tL.jpg,2020,"Juan Pablo Campos doesn't do regrets. He's living the dream as a physical therapist with his beloved New York Yankees. He has the best friends and family in the world and simply no time to dwell on what could've been.

Except when it comes to Priscilla, the childhood friend he's loved for what seems like forever.

New York City police detective Priscilla Gutierrez has never been afraid to go after what she wants. Second guessing herself isn't a thing she does. But lately, the once-clear vision she had for herself--her career, her relationships, her life--is no longer what she wants.

What she especially doesn't want is to be stuck on a private jet to the Dominican Republic with JuanPa, the one person who knows her better than anyone else.

By the end of a single week in paradise, the love/hate thing JuanPa and Pris have been doing for sixteen years has risen to epic proportions. No one can argue their connection is still there. And they can both finally admit--if only to themselves--they've always been a perfect match. The future they dreamed of together is still within reach...if they can just accept each other as they are.",https://www.amazon.com/American-Sweethearts-Dreamers-Book-4-ebook/dp/B07WHSKR2L/ref=sr_1_1?dchild=1&keywords=Adriana+Herrera+American+sweetheart&qid=1615933710&s=books&sr=1-1,American sweetheart,223
Adriana Herrera,Finding Joy,https://m.media-amazon.com/images/I/416M8GuOj3L.jpg,2020,"As his twenty-sixth birthday approaches, Desta Joy Walker finds himself in Addis Ababa, Ethiopia, the one place he's been actively avoiding most of his life. For Desta, the East African capital encompasses some of the happiest and saddest parts of his life--his first home and the place where his father died. When an unavoidable work obligation lands him there for twelve weeks, he may finally have a chance for the closure he so desperately needs. What Desta never expected was to catch a glimpse of his future as he reconnects with the beautiful country and his family's past.

Elias Fikru has never met an opportunity he hasn't seized. Except, of course, for the life-changing one, he's stubbornly ignored for the past nine months. He'd be a fool not to accept the chance to pursue his doctoral studies in the U.S., but saying yes means leaving his homeland, and Elias isn't ready to make that commitment.

Meeting Desta, the Dominican-American emergency relief worker with the easy smile and sad eyes, makes Elias want things he's never envisioned for himself. Rediscovering his country through Desta's eyes emboldens Elias to reach for a future where he can be open about every part of himself. But when something threatens the future that's within their grasp, Elias and Desta must put it all on the line for love.",https://www.amazon.com/Finding-Joy-Romance-Adriana-Herrera-ebook/dp/B085TRV833/ref=sr_1_1?dchild=1&keywords=Adriana+Herrera+finding+joy&qid=1615933968&s=books&sr=1-1,Finding joy,224
Adriana Herrera,Here to Stay,https://m.media-amazon.com/images/I/51ZN1hKljEL.jpg,2020,"Starting over is more about who you're with than where you live...

Julia del Mar Ortiz is not having the best year.

She moved to Dallas with her boyfriend, who ended up ditching her and running back to New York after only a few weeks. Left with a massive-- by NYC standards, anyway--apartment and a car lease in the scorching Texas heat, Julia is struggling... except that's not completely true. Running the charitable foundation of one of the most iconic high fashion department stores in the world is serious #lifegoals.

It's more than enough to make her want to stick it out down South.

The only monkey wrench in Julia's plans is the blue-eyed, smart-mouthed consultant the store hired to take them public. Fellow New Yorker Rocco Quinn's first order of business? Putting Julia's job on the chopping block.

When Julia is tasked with making sure Rocco sees how valuable the programs she runs are, she's caught between a rock and a very hard set of abs. Because Rocco Quinn is almost impossible to hate--and even harder to resist.",https://www.amazon.com/Here-Stay-Adriana-Herrera-ebook/dp/B086R2QY77/ref=sr_1_1?dchild=1&keywords=adriana+herrera+here+to+stay&qid=1615934192&s=books&sr=1-1,Here to stay ,225
Adriana Herrera,Mangoes and Mistletoe: A Foddie Holiday Novella,https://m.media-amazon.com/images/I/41QXe1o8TuL.jpg,2019,"Kiskeya Burgos left the tropical beaches of the Dominican Republic with a lot to prove. As a pastry chef on the come up, when she arrives in Scotland, she has one goal in mind: win the Holiday Baking Challenge. Winning is her opportunity to prove to her family, her former boss, and most importantly herself, she can make it in the culinary world. Kiskeya will stop at nothing to win, that is, if she can keep her eyes on the prize and off her infuriating teammate's perfect lips.

Sully Morales, home cooking hustler, and self-proclaimed baking brujita lands in Scotland on a quest to find her purpose after spending years as her family's caregiver. But now, with her home life back on track, it's time for Sully to get reacquainted with her greatest love, baking. Winning the Holiday Baking Challenge is a no brainer if she can convince her grumpy AF baking partner that they make a great team both in and out of the kitchen before an unexpected betrayal ends their chance to attain culinary competition glory.",https://www.amazon.com/Mangos-Mistletoe-Foodie-Holiday-Novella-ebook/dp/B081135L42/ref=sr_1_1?dchild=1&keywords=adriana+herrera+mangoes+and+mistletoe&qid=1615934091&s=books&sr=1-1,Mangoes and misteltoes,226
Adrianne Byrd,Body Heat,https://m.media-amazon.com/images/I/51Y8c6LleyL.jpg,2010,"Nikki Jamison didn't know being a playwright in New York would end up like this. After a few financial and creative flops, she's determined to put her Broadway dreams behind her. Recalling a friend's story about an empty villa in St. Lucia, Nikki decides that it's the perfect place to recover-- in luxury! But when the home owner shows up unexpectedly, Nikki's little white lie leads to an out-of-control marital charade.

Hylan Dawson is married. Only problem is he doesn't know it. When Hylan takes off for his vacation home, his plan is to get a little R & R... maybe indulge in a summer fling. But as soon as he arrives on the island, the locals begin congratulating him on his recent nuptials. Hylan feels for his sexy wife, even if she is an impostor. Are the ""newlyweds"" falling into a bed of sizzling summer seduction--or marching toward a lifetime of wedded bliss?",https://www.amazon.com/Body-Heat-Hearts-at-Play-Getaway-Book-ebook/dp/B003SX15EQ/ref=sr_1_1?dchild=1&keywords=Adrianne+Byrd+Body+Heat&qid=1615934325&s=books&sr=1-1,Body Heat,8
Adrianne Byrd,Comfort of a Man,https://m.media-amazon.com/images/I/41vXJAn3+SL.jpg,2018,"She wants a little comfort...

At thirty-eight, Brooklyn Douglas has her hands full raising a teenage son and running her own business. What she doesn't need is everybody and their mother trying to hook her up with a 'good man.' The last 'good man' Brooklyn was with turned into a no-good husband, who left her for another woman. Can't she just have a mind-blowing love affair with no strings attached? Somebody like the handsome, broad-shouldered brother at the bar...

He's looking for a lot more

As a successful businessman, Isaiah Washington is used to going after what he wants, and what he wants is Brooklyn. Too bad the lady isn't extending any invitations. But when fate lands Isaiah in Atlanta for the summer, he's ready to do whatever it takes--from slow kisses to showing up when it counts--in order to melt her heart. Because when it comes to real love, there's no such thing as a perfect man. But there is such a thing as the right one...",https://www.amazon.com/Comfort-Man-Adrianne-Byrd-ebook/dp/B07DJ4DTMR/ref=sr_1_1?dchild=1&keywords=Adrianne+Byrd+Comfort+of+a+Man&qid=1615939119&s=books&sr=1-1,Comfort of a man,9
Adrianne Byrd,Her Lover's Legacy,https://m.media-amazon.com/images/I/51QRhQpBffL._SY346_.jpg,2008,"Heir-apparent Malcolm Braddock may be the sexiest community activist under the Houston sun, but clearly he's met his match in Gloria Kingsley, the late senator Harmon Braddock's strikingly beautiful executive assistant. Both were recently spotted in a limo in a very...um...compromising position, and it appears Ms. Kingsley is influencing more than the brooding, lone-wolf bachelor's normally conservative sense of fashion (when she lets him stay dressed, of course!). We can conclude that Gloria is on a mission to make No-Commitments-Malcolm her Mr. Right. But with rumors flying about Senator Braddockand a few dirty little secrets that didn't die with himcan she get Malcolm to secure his father's mantle as well?",https://www.amazon.com/gp/product/0373860765/ref=x_gr_w_bb_glide_sout?ie=UTF8&tag=x_gr_w_bb_glide_sout-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0373860765&SubscriptionId=1MGPYB6YW3HWK55XCGG2,Her lovers legacy,10
Adrianne Byrd,King's Promise,https://m.media-amazon.com/images/I/513jNJ9q8EL._AC_UY218_.jpg,2011,"The sexy King brothers own a successful bachelor-party-planning business and a string of upscale clubs across the country. What could be better than living the single life in some of the world's most glamorous cities? Finding a woman worth giving it up for... A promise of ecstasy... Bartender Cheryl Shepherd has just done the unthinkableshe has shot down Xavier King. Repeatedly. Now the handsome club owner is on a mission to seduce her. And when he finally succeeds, he's blown away by their wild chemistry. For a notorious player, a sexy, confident woman like Cheryl is a risky proposition. Xavier has no idea how right he is. An undercover cop, Cheryl is really investigating alleged criminal activity in his club. Yet every time she's alone with her boss, Cheryl starts to lose her head along with all her inhibitions. But when the case grows dangerous, can Xavier be trusted with her heart...and her life?",https://www.amazon.com/Kings-Promise-House-Adrianne-Byrd-ebook/dp/B004Z2I54C/ref=sr_1_2?dchild=1&keywords=King%27s+Promise+Adrianne+Byrd&qid=1615771502&s=books&sr=1-2,King's promise,11
