,index,Book,Author,Image,Year,Description,Buy,Topics,Value
126,126,Reckless,Selena Montgomery,https://m.media-amazon.com/images/I/415DRGDgN+L.jpg,2009,"Kell Jameson has the life she's always dreamed about. A partner at a prestigious Atlanta law firm that represents famous--if guilty--clients, she's far from her days as a lonely orphan in rural Georgia. But one frantic phone call will bring her back to the place she's spent years trying to escape. The head of her childhood orphanage has been accused of murder, and Kell is her only hope for freedom.

From the first moment Kell meets Sheriff Luke Calder, tempers flare. Luke is a stickler for law and order, and while he finds Kell compelling, unfortunately she represents his prime suspect. Forced to work together, they dig deep into the town's scandals to uncover the truth. But Kell has a secret of her own...",https://www.amazon.com/Reckless-Selena-Montgomery-ebook/dp/B001AZRJIK/ref=sr_1_1?dchild=1&keywords=Selena+Montgomery+Reckless&qid=1616029345&sr=8-1,Action/Crime,1
143,143,Hidden Sins,Selena Montgomery,https://m.media-amazon.com/images/I/41HuLsaRZoL.jpg,2009,"Mara Reed has been stirring up trouble since she was eighteen--running scams, living on the edge, always on the run. Now, when two thugs are after her with murder on their minds, she's forced into hiding in her small Texas hometown. But as she's cornered in an alley, only seconds from death, an unexpected rescuer comes to her aid...

A forensic anthropologist, Dr. Ethan Stuart is investigating a gruesome discovery--nearly one hundred dead bodies dating back fifty years--a mystery linked to the church once headed by Mara's father. Ethan needs Mara's help; she needs his protection. Their search for a shocking, devastating truth could lead them to forgiveness and salvation... if they survive.",https://www.amazon.com/Hidden-Sins-Selena-Montgomery-ebook/dp/B000N2HCSS/ref=sr_1_1?dchild=1&keywords=Selena+Montgomery+Hidden+Sins&qid=1616029279&sr=8-1,Action/Crime,1
195,195,Deception,Selena Montgomery,https://m.media-amazon.com/images/I/51tL8Vx9eHL._SY346_.jpg,2009,"Playing the odds has always been Fin Borders' forte. As a professional poker player, she knows when to get out to keep from losing everything. But an innocent woman has been accused of murder, and to help, Fin will have to go back to the small southern town of her birth. It's a place she's been running from her entire life, a place of violence, where she got by with nothing more than her wits. Returning to Hallden, Georgia, means facing the ghosts of a brutal crime that Fin will never forget.

But Fin isn't the only one in Hallden hunting for a killer. FBI Special Agent Caleb Matthews is deep undercover, hiding his true identity and his own desperate history. Working alone is far too dangerous, so he and Fin must learn to trust each other. But as they grow closer, they are unprepared for the shocking deception that could destroy everything they hold dear.",https://www.amazon.com/Deception-Selena-Montgomery-ebook/dp/B0020Q3FHC/ref=sr_1_1?dchild=1&keywords=Selena+Montgomery+Deception&qid=1616029222&sr=8-1,Action/Crime,1
215,215,Carl Weber's Kingpins: St. Louis,Keisha Ervin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454882174l/28439695.jpg,2016,"The untimely death of St. Louis Kingpin, King David, has left a vacuum in the underworld. He leaves behind his vast empire to his surviving heirs, David Jr. and Davita. Born barely ten minutes apart, they were raised very differently.

David Jr. is college educated. His mother always pushed him to do the best he could so he could one day legitimize and run the East St. Louis crime family. She thinks she's above and beyond the game. All she wants is the money that she believes she and her son are due.

She taught Davita a different set of rules. Davita has been raised to use anybody and everything to get that money by any means necessary. She has embraced the business of the streets, and she is ready to ascend to the throne that her father has unexpectedly left behind.

The question remains: will the family ties that bind keep the family together, or will sex, greed, drugs, and their mother's divisive ways tear it all to hell, bringing St. Louis down with them? David Jr. and Davita have decisions to make!",https://www.goodreads.com/book/show/28439695-carl-weber-s-kingpins?from_search=true&from_srp=true&qid=WpDogYxriu&rank=1,Action/Crime,1
228,228,Secrets and Lies,Selena Montgomery,https://m.media-amazon.com/images/I/31tnCZnLMEL.jpg,2009,"She may be smart and beautiful, but she's also standing between him and a very lucrative item he needs to 'recover' in this African-American love story that blends passion with action that is sure to thrill romance readers.

She just witnessed her uncle's murder, she's running for her life, and now Dr. Katelyn Lyda is face-to-face with a breathtaking man who could be her salvation. Tall, sexy, his eyes full of mysterious promises, he seems to have the answer she needs.

It's too bad Sebastian Caine is one of the bad guys...

A 'recovery specialist' skilled at separating prized possessions from their owners, Sebastian is after an ancient relic. But he reconsiders the job when he finds himself staring at the wrong end of a gun. The beautiful lady with her finger on the trigger seems to have everything he needs--and not just the artifact. Sebastian's conscience has never bothered him before--but then he has never wanted any woman more.

With her life in jeopardy, Kat wonders how far she can trust Sebastian Caine... how long she can resist him... and dare she fall in love?",https://www.amazon.com/Secrets-Lies-Selena-Montgomery-ebook/dp/B000N2HCXS/ref=sr_1_1?dchild=1&keywords=Selena+Montgomery+Secrets+and+Lies&qid=1616029408&sr=8-1,Action/Crime,1
326,326,Loving the Beast,Naima Simone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333081106l/11653405.jpg,2011,"Gwendolyn Sinclair needs help. And the one person who can give her the aid she urgently requires is exacting a high price.
Desperate to keep the neighborhood community center open, Gwendolyn seeks out Xavier St. James, her childhood friend and the brother of her dead fiance. Xavier's family foundation possesses the funds necessary to keep the center open, but instead he offers a bargain - a devil's bargain: submit her body for his pleasure for seven days, and the building doesn't close its doors.

Left scarred from an accident, Xavier is bitter, resentful, and alone. When Gwendolyn reappears in his life, need and loneliness override conscience, and he proposes an arrangement she can't afford to refuse. With the woman he has always wanted but could never have finally in his bed, he hungers for more. Her heart. But could she come to love a beast?",https://www.goodreads.com/book/show/11653405-loving-the-beast?from_search=true&from_srp=true&qid=VvsCnnH2qz&rank=1,Action/Crime,1
788,2,Island Fling with the Tycoon,Therese Beharrie,https://m.media-amazon.com/images/I/51Cqm0PpgnL._SY346_.jpg,2019,"Could a fairytale weddindlead to her own love story? Sparks fly when Piper Evans meets tycoon Caleb Martin on the way to her brother's wedding. Gorgeous but uncompromising he's the kind of man heartbroken Piper has sworn to stay away from. Yet when the perfect wedding turns to disaster, Piper must search for the runaway groom with Caleb's help! Island hopping around Greece, Piper finds herself increasingly tempted by the man whose totally off limits.",https://www.amazon.com/Island-Fling-Tycoon-Harlequin-Romance/dp/1335499539/ref=sr_1_1?dchild=1&keywords=island+fling+with+the+tycoon&qid=1615770036&s=books&sr=1-1,Adult Romance,1
790,4,The Write Escape: An Irish Romance,Charish Reid,https://m.media-amazon.com/images/I/419e+vtoBXL._SY346_.jpg,2019,"Take one heartbroken Chicago girl

Literary editor Antonia Harper had it allthe career, the man, the future. That was then. Now Antonia is jobless, alone and at a crossroads. What better time to travel the world? A solo honeymoon on the Emerald Isle will be like hitting the reset button. No distractions, no drama.

Add some luck o' the Irish

Aiden Byrnes may be a literature professor, but words fail him when he meets the woman staying in the cottage next door. Tully Cross is meant to be a sleepy little village, and he's meant to be on a working holiday--not a vacation, and most definitely not with his beautiful neighbor.

And you get some mighty good craic

They say laughter is the best medicine--and as it turns out, superhot sex isn't so bad either. Antonia and Aiden's spark quickly grows into what could be something special, if they're willing to take the leap. Ending up an ocean apart is unthinkable, and when real life comes calling, there's no ignoring that leap anymore...",https://www.amazon.com/Write-Escape-Charish-Reid-ebook/dp/B07Q3LCXQ9/ref=sr_1_1?dchild=1&keywords=The+Write+Escape&qid=1615770261&s=books&sr=1-1,Adult Romance,1
791,5,Higher Love,Alexandria House,https://m.media-amazon.com/images/I/515nkoL5MKL.jpg,2016,"Popular travel blogger, Greer Kennedy, is living the good life with a successful career and equally as successful fianc until one phone call from a friend opens her eyes to the truth of her relationship. Tall, handsome, and successful in his own right, Derek Hill is dealing with some serious relationship problems as well. When their paths cross, they mutually, but unofficially, decide to share a nightor three or fourof anonymous pleasure. Will they end up experiencing much more than either of them bargained for?",https://www.amazon.com/Higher-Love-After-Book-ebook/dp/B01NAB1HM1/ref=sr_1_3?dchild=1&keywords=Higher+Love&qid=1615770403&s=books&sr=1-3,Adult Romance,1
792,6,Go Deep,Rilzy Adams,https://m.media-amazon.com/images/I/41wKLNq64-L.jpg,2020,"It was all supposed to be so simple. Navaya Howard is an erotic writer in a rut. Her readers are fed up of her stale plots and Navaya can't blame them. She's been celibate for over a year and a half since finding her now ex-boyfriend's side chick's positive pregnancy test on her bathroom counter. How can she write steamy romances if she can barely remember which body parts go into the other? Navaya enlists the help of her best friend, Xander, to revive the inspiration that used to have her sitting comfortably at the top of her game. What happens when the sex hits deeper than either of them expected and the tender emotions can no longer be denied? Navaya and Xander's arrangement has gone far deeper than intended. Will their friendship and their hearts survive the fall?",https://www.amazon.com/Go-Deep-Unexpected-Lovers-Book-ebook/dp/B08BXZ1HJX/ref=sr_1_1?dchild=1&keywords=go+deep&qid=1615770684&s=books&sr=1-1,Adult Romance,1
